"login";"prenom";"pass";"pseudo_spip";"email";"groupe";"ss_groupe"
"PARENT01";;"parent01";;"parent01.nadia@laposte.net";"PARENTS";"P TSTT A"
"PARENT02";;"parent02";;"parent02.guillaume@laposte.net";"PARENTS";"P TSTT A"
"PARENT03";;"parent03";;"parent03.janique@laposte.net";"PARENTS";"P TSTT A"
"PARENT04";;"parent04";;"parent04.clement@laposte.net";"PARENTS";"P TSTT A"
"PARENT05";;"parent05";;"parent05.anne@laposte.net";"PARENTS";"P TSTT A"
"PARENT06";;"parent06";;"parent06.laure@laposte.net";"PARENTS";"P TSTT G"
"PARENT07";;"parent07";;"parent07.aurelia@laposte.net";"PARENTS";"P TSTT G"
"PARENT08";;"parent08";;"parent08.olivier@laposte.net";"PARENTS";"P TSTT G"
"PARENT09";;"parent09";;"parent09.mickael@laposte.net";"PARENTS";"P TSTT G"
"PARENT10";;"parent10";;"parent10.laetitia@laposte.net";"PARENTS";"P TSTT G"
"ELEVE01";"nadia";"eleve01";"aaa eleve01";"eleve01.nadia@laposte.net";"ELEVES";"TSTT A"
"ELEVE02";"guillaume";"eleve02";;"eleve02.guillaume@laposte.net";"ELEVES";"TSTT A"
"ELEVE03";"janique";"eleve03";;"eleve03.janique@laposte.net";"ELEVES";"TSTT A"
"ELEVE04";"clement";"eleve04";;"eleve04.clement@laposte.net";"ELEVES";"TSTT A"
"ELEVE05";"anne";"eleve05";;"eleve05.anne@laposte.net";"ELEVES";"TSTT A"
"ELEVE06";"laure";"eleve06";;"eleve06.laure@laposte.net";"ELEVES";"TSTT G"
"ELEVE07";"aurelia";"eleve07";;"eleve07.aurelia@laposte.net";"ELEVES";"TSTT G"
"ELEVE08";"olivier";"eleve08";;"eleve08.olivier@laposte.net";"ELEVES";"TSTT G"
"ELEVE09";"mickael";"eleve09";;"eleve09.mickael@laposte.net";"ELEVES";"TSTT G"
"ELEVE10";"laetitia";"eleve10";;"eleve10.laetitia@laposte.net";"ELEVES";"TSTT G"
"PROF01";"CDI";"prof01";;;"PROFS";"CDI"
"PROF02";"ECO";"prof02";;"prof02.isabelle@laposte.net";"PROFS";"ECONOMIE ET GESTION"
"PROF03";"ECO";"prof03";;;"PROFS";"ECONOMIE ET GESTION"
"PROF04";"EPS";"prof04";;"prof04.marion@laposte.net";"PROFS";"EPS"
"PROF05";"EPS";"prof05";;;"PROFS";"EPS"
"PROF06";"SVT";"prof06";;"prof06.christine@laposte.net";"PROFS";"SVT"
"PROF07";"SVT";"prof07";;;"PROFS";"SVT"
"PROF08";"HG";"prof08";"aaa prof14";"prof08.severine@laposte.net";"PROFS";"HISTOIRE GEOGRAPHIE"
"PROF09";"HG";"prof09";;;"PROFS";"HISTOIRE GEOGRAPHIE"
"PROF10";"ITA";"prof10";;"prof10.laurence@laposte.net";"PROFS";"ITALIEN"
"PROF11";"ITA";"prof11";;;"PROFS";"ITALIEN"
